"","studyid","intid","int_type","spp","year","species","phenofreq","short_site","terrestrial","phenovalue","newyear","yr1981"
"98","HMK008",146,"pollination","spp1",2005,"Erythronium grandiflorum","daily","arizona","terrestrial",145.1012,2005,24
"99","HMK008",146,"pollination","spp1",2006,"Erythronium grandiflorum","daily","arizona","terrestrial",134.6481,2006,25
"100","HMK008",146,"pollination","spp1",2008,"Erythronium grandiflorum","daily","arizona","terrestrial",155.1748,2008,27
"101","HMK008",146,"pollination","spp1",2009,"Erythronium grandiflorum","daily","arizona","terrestrial",136.2264,2009,28
"102","HMK008",146,"pollination","spp1",2010,"Erythronium grandiflorum","daily","arizona","terrestrial",138.0888,2010,29
"103","HMK008",146,"pollination","spp1",2011,"Erythronium grandiflorum","daily","arizona","terrestrial",155.3492,2011,30
"1901","HMK048",218,"predation","spp2",1985,"Ficedula hypoleuca","weekly","netherlands","terrestrial",62.126,1985,4
"1902","HMK048",218,"predation","spp2",1986,"Ficedula hypoleuca","weekly","netherlands","terrestrial",59.7638,1986,5
"1903","HMK048",218,"predation","spp2",1987,"Ficedula hypoleuca","weekly","netherlands","terrestrial",60.9449,1987,6
"1904","HMK048",218,"predation","spp2",1988,"Ficedula hypoleuca","weekly","netherlands","terrestrial",59.3701,1988,7
"1905","HMK048",218,"predation","spp2",1989,"Ficedula hypoleuca","weekly","netherlands","terrestrial",62.9134,1989,8
"1906","HMK048",218,"predation","spp2",1990,"Ficedula hypoleuca","weekly","netherlands","terrestrial",57.0079,1990,9
"1907","HMK048",218,"predation","spp2",1992,"Ficedula hypoleuca","weekly","netherlands","terrestrial",55.8268,1992,11
"1908","HMK048",218,"predation","spp2",1993,"Ficedula hypoleuca","weekly","netherlands","terrestrial",54.6457,1993,12
"1909","HMK048",218,"predation","spp2",1994,"Ficedula hypoleuca","weekly","netherlands","terrestrial",56.2205,1994,13
"1910","HMK048",218,"predation","spp2",1996,"Ficedula hypoleuca","weekly","netherlands","terrestrial",58.189,1996,15
"1911","HMK048",218,"predation","spp2",1997,"Ficedula hypoleuca","weekly","netherlands","terrestrial",54.6457,1997,16
"1912","HMK048",218,"predation","spp2",1998,"Ficedula hypoleuca","weekly","netherlands","terrestrial",53.8583,1998,17
"1913","HMK048",218,"predation","spp2",1999,"Ficedula hypoleuca","weekly","netherlands","terrestrial",55.0394,1999,18
"1914","HMK048",218,"predation","spp2",2000,"Ficedula hypoleuca","weekly","netherlands","terrestrial",49.9213,2000,19
"1915","HMK048",218,"predation","spp2",2001,"Ficedula hypoleuca","weekly","netherlands","terrestrial",57.0079,2001,20
"1916","HMK048",218,"predation","spp2",2002,"Ficedula hypoleuca","weekly","netherlands","terrestrial",55.0394,2002,21
"1917","HMK048",218,"predation","spp2",2003,"Ficedula hypoleuca","weekly","netherlands","terrestrial",49.9213,2003,22
"1918","HMK048",218,"predation","spp2",2004,"Ficedula hypoleuca","weekly","netherlands","terrestrial",53.0709,2004,23
"1919","HMK048",218,"predation","spp2",2005,"Ficedula hypoleuca","weekly","netherlands","terrestrial",53.8583,2005,24
"1677","HMK048",214,"predation","spp1",1985,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",62.126,1985,4
"1678","HMK048",214,"predation","spp1",1986,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",59.7638,1986,5
"1679","HMK048",214,"predation","spp1",1987,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",60.9449,1987,6
"1680","HMK048",214,"predation","spp1",1988,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",59.3701,1988,7
"1681","HMK048",214,"predation","spp1",1989,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",62.9134,1989,8
"1682","HMK048",214,"predation","spp1",1990,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",57.0079,1990,9
"1683","HMK048",214,"predation","spp1",1992,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",55.8268,1992,11
"1684","HMK048",214,"predation","spp1",1996,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",58.189,1996,15
"1685","HMK048",214,"predation","spp1",1997,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",54.6457,1997,16
"1686","HMK048",214,"predation","spp1",1998,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",53.8583,1998,17
"1687","HMK048",214,"predation","spp1",1999,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",55.0394,1999,18
"1688","HMK048",214,"predation","spp1",2000,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",49.9213,2000,19
"1689","HMK048",214,"predation","spp1",2001,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",57.0079,2001,20
"1690","HMK048",214,"predation","spp1",2002,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",55.0394,2002,21
"1691","HMK048",214,"predation","spp1",2003,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",49.9213,2003,22
"1692","HMK048",214,"predation","spp1",2004,"Ficedula_a hypoleuca","weekly","netherlands","terrestrial",53.0709,2004,23
"1257","HMK038",197,"predation","spp1",1980,"Ficedula2 albicollis","daily","czech","terrestrial",138.636,1980,-1
"1258","HMK038",197,"predation","spp1",1981,"Ficedula2 albicollis","daily","czech","terrestrial",134.773,1981,0
"1259","HMK038",197,"predation","spp1",1982,"Ficedula2 albicollis","daily","czech","terrestrial",138.182,1982,1
"1260","HMK038",197,"predation","spp1",1983,"Ficedula2 albicollis","daily","czech","terrestrial",127.955,1983,2
"1261","HMK038",197,"predation","spp1",1984,"Ficedula2 albicollis","daily","czech","terrestrial",136.364,1984,3
"1262","HMK038",197,"predation","spp1",1985,"Ficedula2 albicollis","daily","czech","terrestrial",132.955,1985,4
"1263","HMK038",197,"predation","spp1",1986,"Ficedula2 albicollis","daily","czech","terrestrial",131.364,1986,5
"1264","HMK038",197,"predation","spp1",1987,"Ficedula2 albicollis","daily","czech","terrestrial",134.091,1987,6
"1265","HMK038",197,"predation","spp1",1988,"Ficedula2 albicollis","daily","czech","terrestrial",130.909,1988,7
"1266","HMK038",197,"predation","spp1",1989,"Ficedula2 albicollis","daily","czech","terrestrial",130.227,1989,8
"1267","HMK038",197,"predation","spp1",1990,"Ficedula2 albicollis","daily","czech","terrestrial",132.955,1990,9
"1268","HMK038",197,"predation","spp1",1991,"Ficedula2 albicollis","daily","czech","terrestrial",134.773,1991,10
"1269","HMK038",197,"predation","spp1",1992,"Ficedula2 albicollis","daily","czech","terrestrial",130.682,1992,11
"1270","HMK038",197,"predation","spp1",1993,"Ficedula2 albicollis","daily","czech","terrestrial",126.364,1993,12
"1271","HMK038",197,"predation","spp1",1994,"Ficedula2 albicollis","daily","czech","terrestrial",125.227,1994,13
"1272","HMK038",197,"predation","spp1",1995,"Ficedula2 albicollis","daily","czech","terrestrial",130.227,1995,14
"1273","HMK038",197,"predation","spp1",1996,"Ficedula2 albicollis","daily","czech","terrestrial",129.545,1996,15
"1274","HMK038",197,"predation","spp1",1997,"Ficedula2 albicollis","daily","czech","terrestrial",130.682,1997,16
"1275","HMK038",197,"predation","spp1",1998,"Ficedula2 albicollis","daily","czech","terrestrial",129.091,1998,17
"1276","HMK038",197,"predation","spp1",1999,"Ficedula2 albicollis","daily","czech","terrestrial",129.545,1999,18
"1277","HMK038",197,"predation","spp1",2000,"Ficedula2 albicollis","daily","czech","terrestrial",126.364,2000,19
"1278","HMK038",197,"predation","spp1",2001,"Ficedula2 albicollis","daily","czech","terrestrial",126.818,2001,20
"1279","HMK038",197,"predation","spp1",2002,"Ficedula2 albicollis","daily","czech","terrestrial",127.045,2002,21
"1280","HMK038",197,"predation","spp1",2003,"Ficedula2 albicollis","daily","czech","terrestrial",126.818,2003,22
"1281","HMK038",197,"predation","spp1",2004,"Ficedula2 albicollis","daily","czech","terrestrial",128.409,2004,23
"1282","HMK038",197,"predation","spp1",2005,"Ficedula2 albicollis","daily","czech","terrestrial",130.682,2005,24
"2141","SET005",232,"predation","spp2",1983,"Fratercula arctica","daily","northsea","aquatic",169.187,1983,2
"2142","SET005",232,"predation","spp2",1984,"Fratercula arctica","daily","northsea","aquatic",169.5907,1984,3
"2143","SET005",232,"predation","spp2",1985,"Fratercula arctica","daily","northsea","aquatic",167.706,1985,4
"2144","SET005",232,"predation","spp2",1986,"Fratercula arctica","daily","northsea","aquatic",172.7784,1986,5
"2145","SET005",232,"predation","spp2",1987,"Fratercula arctica","daily","northsea","aquatic",170.0868,1987,6
"2146","SET005",232,"predation","spp2",1988,"Fratercula arctica","daily","northsea","aquatic",176.6698,1988,7
"2147","SET005",232,"predation","spp2",1989,"Fratercula arctica","daily","northsea","aquatic",169.2755,1989,8
"2148","SET005",232,"predation","spp2",1990,"Fratercula arctica","daily","northsea","aquatic",172.5471,1990,9
"2149","SET005",232,"predation","spp2",1991,"Fratercula arctica","daily","northsea","aquatic",164.8522,1991,10
"2150","SET005",232,"predation","spp2",1992,"Fratercula arctica","daily","northsea","aquatic",169.2484,1992,11
"2151","SET005",232,"predation","spp2",1993,"Fratercula arctica","daily","northsea","aquatic",170.9922,1993,12
"2152","SET005",232,"predation","spp2",1994,"Fratercula arctica","daily","northsea","aquatic",168.1406,1994,13
"2153","SET005",232,"predation","spp2",1995,"Fratercula arctica","daily","northsea","aquatic",175.4443,1995,14
"2154","SET005",232,"predation","spp2",1996,"Fratercula arctica","daily","northsea","aquatic",179.0864,1996,15
"2155","SET005",232,"predation","spp2",1997,"Fratercula arctica","daily","northsea","aquatic",163.7783,1997,16
"2156","SET005",232,"predation","spp2",1998,"Fratercula arctica","daily","northsea","aquatic",179.8552,1998,17
"2157","SET005",232,"predation","spp2",1999,"Fratercula arctica","daily","northsea","aquatic",168.4121,1999,18
"2158","SET005",232,"predation","spp2",2000,"Fratercula arctica","daily","northsea","aquatic",166.1587,2000,19
"2159","SET005",232,"predation","spp2",2001,"Fratercula arctica","daily","northsea","aquatic",172.734,2001,20
"2160","SET005",232,"predation","spp2",2002,"Fratercula arctica","daily","northsea","aquatic",172.7814,2002,21
"2161","SET005",232,"predation","spp2",2003,"Fratercula arctica","daily","northsea","aquatic",170.8266,2003,22
"2162","SET005",232,"predation","spp2",2004,"Fratercula arctica","daily","northsea","aquatic",171.8007,2004,23
"2163","SET005",232,"predation","spp2",2005,"Fratercula arctica","daily","northsea","aquatic",186.1328,2005,24
"2164","SET005",232,"predation","spp2",2006,"Fratercula arctica","daily","northsea","aquatic",180.2871,2006,25
"1361","HMK038",197,"predation","spp2",1980,"Glis glis","daily","czech","terrestrial",158.314,1980,-1
"1387","HMK038",198,"predation","spp2",1980,"Glis glis","daily","czech","terrestrial",158.314,1980,-1
"1413","HMK038",199,"predation","spp2",1980,"Glis glis","daily","czech","terrestrial",158.314,1980,-1
"1439","HMK038",200,"predation","spp2",1980,"Glis glis","daily","czech","terrestrial",158.314,1980,-1
"1362","HMK038",197,"predation","spp2",1981,"Glis glis","daily","czech","terrestrial",160.831,1981,0
"1388","HMK038",198,"predation","spp2",1981,"Glis glis","daily","czech","terrestrial",160.831,1981,0
"1414","HMK038",199,"predation","spp2",1981,"Glis glis","daily","czech","terrestrial",160.831,1981,0
"1440","HMK038",200,"predation","spp2",1981,"Glis glis","daily","czech","terrestrial",160.831,1981,0
"1363","HMK038",197,"predation","spp2",1982,"Glis glis","daily","czech","terrestrial",137.909,1982,1
"1389","HMK038",198,"predation","spp2",1982,"Glis glis","daily","czech","terrestrial",137.909,1982,1
"1415","HMK038",199,"predation","spp2",1982,"Glis glis","daily","czech","terrestrial",137.909,1982,1
"1441","HMK038",200,"predation","spp2",1982,"Glis glis","daily","czech","terrestrial",137.909,1982,1
"1364","HMK038",197,"predation","spp2",1983,"Glis glis","daily","czech","terrestrial",145.28,1983,2
"1390","HMK038",198,"predation","spp2",1983,"Glis glis","daily","czech","terrestrial",145.28,1983,2
"1416","HMK038",199,"predation","spp2",1983,"Glis glis","daily","czech","terrestrial",145.28,1983,2
"1442","HMK038",200,"predation","spp2",1983,"Glis glis","daily","czech","terrestrial",145.28,1983,2
"1365","HMK038",197,"predation","spp2",1984,"Glis glis","daily","czech","terrestrial",148.299,1984,3
"1391","HMK038",198,"predation","spp2",1984,"Glis glis","daily","czech","terrestrial",148.299,1984,3
"1417","HMK038",199,"predation","spp2",1984,"Glis glis","daily","czech","terrestrial",148.299,1984,3
"1443","HMK038",200,"predation","spp2",1984,"Glis glis","daily","czech","terrestrial",148.299,1984,3
"1366","HMK038",197,"predation","spp2",1985,"Glis glis","daily","czech","terrestrial",151.988,1985,4
"1392","HMK038",198,"predation","spp2",1985,"Glis glis","daily","czech","terrestrial",151.988,1985,4
"1418","HMK038",199,"predation","spp2",1985,"Glis glis","daily","czech","terrestrial",151.988,1985,4
"1444","HMK038",200,"predation","spp2",1985,"Glis glis","daily","czech","terrestrial",151.988,1985,4
"1367","HMK038",197,"predation","spp2",1986,"Glis glis","daily","czech","terrestrial",146.806,1986,5
"1393","HMK038",198,"predation","spp2",1986,"Glis glis","daily","czech","terrestrial",146.806,1986,5
"1419","HMK038",199,"predation","spp2",1986,"Glis glis","daily","czech","terrestrial",146.806,1986,5
"1445","HMK038",200,"predation","spp2",1986,"Glis glis","daily","czech","terrestrial",146.806,1986,5
"1368","HMK038",197,"predation","spp2",1987,"Glis glis","daily","czech","terrestrial",150.662,1987,6
"1394","HMK038",198,"predation","spp2",1987,"Glis glis","daily","czech","terrestrial",150.662,1987,6
"1420","HMK038",199,"predation","spp2",1987,"Glis glis","daily","czech","terrestrial",150.662,1987,6
"1446","HMK038",200,"predation","spp2",1987,"Glis glis","daily","czech","terrestrial",150.662,1987,6
"1369","HMK038",197,"predation","spp2",1988,"Glis glis","daily","czech","terrestrial",141.129,1988,7
"1395","HMK038",198,"predation","spp2",1988,"Glis glis","daily","czech","terrestrial",141.129,1988,7
"1421","HMK038",199,"predation","spp2",1988,"Glis glis","daily","czech","terrestrial",141.129,1988,7
"1447","HMK038",200,"predation","spp2",1988,"Glis glis","daily","czech","terrestrial",141.129,1988,7
"1370","HMK038",197,"predation","spp2",1989,"Glis glis","daily","czech","terrestrial",151.177,1989,8
"1396","HMK038",198,"predation","spp2",1989,"Glis glis","daily","czech","terrestrial",151.177,1989,8
"1422","HMK038",199,"predation","spp2",1989,"Glis glis","daily","czech","terrestrial",151.177,1989,8
"1448","HMK038",200,"predation","spp2",1989,"Glis glis","daily","czech","terrestrial",151.177,1989,8
"1371","HMK038",197,"predation","spp2",1990,"Glis glis","daily","czech","terrestrial",145.829,1990,9
"1397","HMK038",198,"predation","spp2",1990,"Glis glis","daily","czech","terrestrial",145.829,1990,9
"1423","HMK038",199,"predation","spp2",1990,"Glis glis","daily","czech","terrestrial",145.829,1990,9
"1449","HMK038",200,"predation","spp2",1990,"Glis glis","daily","czech","terrestrial",145.829,1990,9
"1372","HMK038",197,"predation","spp2",1991,"Glis glis","daily","czech","terrestrial",152.697,1991,10
"1398","HMK038",198,"predation","spp2",1991,"Glis glis","daily","czech","terrestrial",152.697,1991,10
"1424","HMK038",199,"predation","spp2",1991,"Glis glis","daily","czech","terrestrial",152.697,1991,10
"1450","HMK038",200,"predation","spp2",1991,"Glis glis","daily","czech","terrestrial",152.697,1991,10
"1373","HMK038",197,"predation","spp2",1992,"Glis glis","daily","czech","terrestrial",145.507,1992,11
"1399","HMK038",198,"predation","spp2",1992,"Glis glis","daily","czech","terrestrial",145.507,1992,11
"1425","HMK038",199,"predation","spp2",1992,"Glis glis","daily","czech","terrestrial",145.507,1992,11
"1451","HMK038",200,"predation","spp2",1992,"Glis glis","daily","czech","terrestrial",145.507,1992,11
"1374","HMK038",197,"predation","spp2",1993,"Glis glis","daily","czech","terrestrial",138.485,1993,12
"1400","HMK038",198,"predation","spp2",1993,"Glis glis","daily","czech","terrestrial",138.485,1993,12
"1426","HMK038",199,"predation","spp2",1993,"Glis glis","daily","czech","terrestrial",138.485,1993,12
"1452","HMK038",200,"predation","spp2",1993,"Glis glis","daily","czech","terrestrial",138.485,1993,12
"1375","HMK038",197,"predation","spp2",1994,"Glis glis","daily","czech","terrestrial",144.852,1994,13
"1401","HMK038",198,"predation","spp2",1994,"Glis glis","daily","czech","terrestrial",144.852,1994,13
"1427","HMK038",199,"predation","spp2",1994,"Glis glis","daily","czech","terrestrial",144.852,1994,13
"1453","HMK038",200,"predation","spp2",1994,"Glis glis","daily","czech","terrestrial",144.852,1994,13
"1376","HMK038",197,"predation","spp2",1995,"Glis glis","daily","czech","terrestrial",149.544,1995,14
"1402","HMK038",198,"predation","spp2",1995,"Glis glis","daily","czech","terrestrial",149.544,1995,14
"1428","HMK038",199,"predation","spp2",1995,"Glis glis","daily","czech","terrestrial",149.544,1995,14
"1454","HMK038",200,"predation","spp2",1995,"Glis glis","daily","czech","terrestrial",149.544,1995,14
"1377","HMK038",197,"predation","spp2",1996,"Glis glis","daily","czech","terrestrial",153.401,1996,15
"1403","HMK038",198,"predation","spp2",1996,"Glis glis","daily","czech","terrestrial",153.401,1996,15
"1429","HMK038",199,"predation","spp2",1996,"Glis glis","daily","czech","terrestrial",153.401,1996,15
"1455","HMK038",200,"predation","spp2",1996,"Glis glis","daily","czech","terrestrial",153.401,1996,15
"1378","HMK038",197,"predation","spp2",1997,"Glis glis","daily","czech","terrestrial",140.017,1997,16
"1404","HMK038",198,"predation","spp2",1997,"Glis glis","daily","czech","terrestrial",140.017,1997,16
"1430","HMK038",199,"predation","spp2",1997,"Glis glis","daily","czech","terrestrial",140.017,1997,16
"1456","HMK038",200,"predation","spp2",1997,"Glis glis","daily","czech","terrestrial",140.017,1997,16
"1379","HMK038",197,"predation","spp2",1998,"Glis glis","daily","czech","terrestrial",140.861,1998,17
"1405","HMK038",198,"predation","spp2",1998,"Glis glis","daily","czech","terrestrial",140.861,1998,17
"1431","HMK038",199,"predation","spp2",1998,"Glis glis","daily","czech","terrestrial",140.861,1998,17
"1457","HMK038",200,"predation","spp2",1998,"Glis glis","daily","czech","terrestrial",140.861,1998,17
"1380","HMK038",197,"predation","spp2",1999,"Glis glis","daily","czech","terrestrial",136.349,1999,18
"1406","HMK038",198,"predation","spp2",1999,"Glis glis","daily","czech","terrestrial",136.349,1999,18
"1432","HMK038",199,"predation","spp2",1999,"Glis glis","daily","czech","terrestrial",136.349,1999,18
"1458","HMK038",200,"predation","spp2",1999,"Glis glis","daily","czech","terrestrial",136.349,1999,18
"1381","HMK038",197,"predation","spp2",2000,"Glis glis","daily","czech","terrestrial",142.716,2000,19
"1407","HMK038",198,"predation","spp2",2000,"Glis glis","daily","czech","terrestrial",142.716,2000,19
"1433","HMK038",199,"predation","spp2",2000,"Glis glis","daily","czech","terrestrial",142.716,2000,19
"1459","HMK038",200,"predation","spp2",2000,"Glis glis","daily","czech","terrestrial",142.716,2000,19
"1382","HMK038",197,"predation","spp2",2001,"Glis glis","daily","czech","terrestrial",136.363,2001,20
"1408","HMK038",198,"predation","spp2",2001,"Glis glis","daily","czech","terrestrial",136.363,2001,20
"1434","HMK038",199,"predation","spp2",2001,"Glis glis","daily","czech","terrestrial",136.363,2001,20
"1460","HMK038",200,"predation","spp2",2001,"Glis glis","daily","czech","terrestrial",136.363,2001,20
"1383","HMK038",197,"predation","spp2",2002,"Glis glis","daily","czech","terrestrial",135.198,2002,21
"1409","HMK038",198,"predation","spp2",2002,"Glis glis","daily","czech","terrestrial",135.198,2002,21
"1435","HMK038",199,"predation","spp2",2002,"Glis glis","daily","czech","terrestrial",135.198,2002,21
"1461","HMK038",200,"predation","spp2",2002,"Glis glis","daily","czech","terrestrial",135.198,2002,21
"1384","HMK038",197,"predation","spp2",2003,"Glis glis","daily","czech","terrestrial",128.008,2003,22
"1410","HMK038",198,"predation","spp2",2003,"Glis glis","daily","czech","terrestrial",128.008,2003,22
"1436","HMK038",199,"predation","spp2",2003,"Glis glis","daily","czech","terrestrial",128.008,2003,22
"1462","HMK038",200,"predation","spp2",2003,"Glis glis","daily","czech","terrestrial",128.008,2003,22
"1385","HMK038",197,"predation","spp2",2004,"Glis glis","daily","czech","terrestrial",137.052,2004,23
"1411","HMK038",198,"predation","spp2",2004,"Glis glis","daily","czech","terrestrial",137.052,2004,23
"1437","HMK038",199,"predation","spp2",2004,"Glis glis","daily","czech","terrestrial",137.052,2004,23
"1463","HMK038",200,"predation","spp2",2004,"Glis glis","daily","czech","terrestrial",137.052,2004,23
"1386","HMK038",197,"predation","spp2",2005,"Glis glis","daily","czech","terrestrial",130.699,2005,24
"1412","HMK038",198,"predation","spp2",2005,"Glis glis","daily","czech","terrestrial",130.699,2005,24
"1438","HMK038",199,"predation","spp2",2005,"Glis glis","daily","czech","terrestrial",130.699,2005,24
"1464","HMK038",200,"predation","spp2",2005,"Glis glis","daily","czech","terrestrial",130.699,2005,24
"7","EMW001",1,"predation","spp2",1951,"Mnemiopsis1 leidyi","daily","rhode","aquatic",206.625,1951,-30
"8","EMW001",1,"predation","spp2",1972,"Mnemiopsis1 leidyi","daily","rhode","aquatic",188.458,1972,-9
"9","EMW001",1,"predation","spp2",1973,"Mnemiopsis1 leidyi","daily","rhode","aquatic",197.042,1973,-8
"10","EMW001",1,"predation","spp2",1976,"Mnemiopsis1 leidyi","daily","rhode","aquatic",207.625,1976,-5
"11","EMW001",1,"predation","spp2",1983,"Mnemiopsis1 leidyi","daily","rhode","aquatic",226.75,1983,2
"12","EMW001",1,"predation","spp2",2002,"Mnemiopsis1 leidyi","daily","rhode","aquatic",106.958,2002,21
"997","HMK035",192,"predation","spp2",1951,"Mnemiopsis2 leidyi","daily","rhode","aquatic",217.44,1951,-30
"998","HMK035",192,"predation","spp2",1973,"Mnemiopsis2 leidyi","daily","rhode","aquatic",194.85,1973,-8
"999","HMK035",192,"predation","spp2",1976,"Mnemiopsis2 leidyi","daily","rhode","aquatic",207.656,1976,-5
"1000","HMK035",192,"predation","spp2",2000,"Mnemiopsis2 leidyi","daily","rhode","aquatic",175.688,2000,19
"1001","HMK035",192,"predation","spp2",2001,"Mnemiopsis2 leidyi","daily","rhode","aquatic",171.263,2001,20
"1002","HMK035",192,"predation","spp2",2002,"Mnemiopsis2 leidyi","daily","rhode","aquatic",138.1635,2002,21
"1003","HMK035",192,"predation","spp2",2003,"Mnemiopsis2 leidyi","daily","rhode","aquatic",164.859,2003,22
"1004","HMK035",192,"predation","spp2",2004,"Mnemiopsis2 leidyi","daily","rhode","aquatic",158.628,2004,23
"1920","HMK048",219,"predation","spp2",1985,"Parus ater","weekly","netherlands","terrestrial",40.6349,1985,4
"1921","HMK048",219,"predation","spp2",1986,"Parus ater","weekly","netherlands","terrestrial",50.9524,1986,5
"1922","HMK048",219,"predation","spp2",1987,"Parus ater","weekly","netherlands","terrestrial",41.0317,1987,6
"1923","HMK048",219,"predation","spp2",1988,"Parus ater","weekly","netherlands","terrestrial",39.0476,1988,7
"1924","HMK048",219,"predation","spp2",1989,"Parus ater","weekly","netherlands","terrestrial",33.4921,1989,8
"1925","HMK048",219,"predation","spp2",1990,"Parus ater","weekly","netherlands","terrestrial",27.5397,1990,9
"1926","HMK048",219,"predation","spp2",1992,"Parus ater","weekly","netherlands","terrestrial",34.2857,1992,11
"1927","HMK048",219,"predation","spp2",1993,"Parus ater","weekly","netherlands","terrestrial",31.5079,1993,12
"1928","HMK048",219,"predation","spp2",1994,"Parus ater","weekly","netherlands","terrestrial",38.254,1994,13
"1929","HMK048",219,"predation","spp2",1995,"Parus ater","weekly","netherlands","terrestrial",39.0476,1995,14
"1930","HMK048",219,"predation","spp2",1996,"Parus ater","weekly","netherlands","terrestrial",44.2063,1996,15
"1931","HMK048",219,"predation","spp2",1997,"Parus ater","weekly","netherlands","terrestrial",30.7143,1997,16
"1932","HMK048",219,"predation","spp2",1998,"Parus ater","weekly","netherlands","terrestrial",33.8889,1998,17
"1933","HMK048",219,"predation","spp2",1999,"Parus ater","weekly","netherlands","terrestrial",34.6825,1999,18
"1934","HMK048",219,"predation","spp2",2000,"Parus ater","weekly","netherlands","terrestrial",27.5397,2000,19
"1935","HMK048",219,"predation","spp2",2001,"Parus ater","weekly","netherlands","terrestrial",41.8254,2001,20
"1936","HMK048",219,"predation","spp2",2002,"Parus ater","weekly","netherlands","terrestrial",33.4921,2002,21
"1937","HMK048",219,"predation","spp2",2003,"Parus ater","weekly","netherlands","terrestrial",35.0794,2003,22
"1938","HMK048",219,"predation","spp2",2004,"Parus ater","weekly","netherlands","terrestrial",35.4762,2004,23
"1939","HMK048",219,"predation","spp2",2005,"Parus ater","weekly","netherlands","terrestrial",31.9048,2005,24
"1283","HMK038",198,"predation","spp1",1980,"Parus caeruleus","daily","czech","terrestrial",119.318,1980,-1
"1284","HMK038",198,"predation","spp1",1981,"Parus caeruleus","daily","czech","terrestrial",110,1981,0
"1285","HMK038",198,"predation","spp1",1982,"Parus caeruleus","daily","czech","terrestrial",122.273,1982,1
"1286","HMK038",198,"predation","spp1",1983,"Parus caeruleus","daily","czech","terrestrial",117.045,1983,2
"1287","HMK038",198,"predation","spp1",1984,"Parus caeruleus","daily","czech","terrestrial",117.273,1984,3
"1288","HMK038",198,"predation","spp1",1985,"Parus caeruleus","daily","czech","terrestrial",112.273,1985,4
"1289","HMK038",198,"predation","spp1",1986,"Parus caeruleus","daily","czech","terrestrial",116.818,1986,5
"1290","HMK038",198,"predation","spp1",1987,"Parus caeruleus","daily","czech","terrestrial",117.273,1987,6
"1291","HMK038",198,"predation","spp1",1988,"Parus caeruleus","daily","czech","terrestrial",115,1988,7
"1292","HMK038",198,"predation","spp1",1989,"Parus caeruleus","daily","czech","terrestrial",109.773,1989,8
"1293","HMK038",198,"predation","spp1",1990,"Parus caeruleus","daily","czech","terrestrial",106.136,1990,9
"1294","HMK038",198,"predation","spp1",1991,"Parus caeruleus","daily","czech","terrestrial",110,1991,10
"1295","HMK038",198,"predation","spp1",1992,"Parus caeruleus","daily","czech","terrestrial",111.818,1992,11
"1296","HMK038",198,"predation","spp1",1993,"Parus caeruleus","daily","czech","terrestrial",116.591,1993,12
"1297","HMK038",198,"predation","spp1",1994,"Parus caeruleus","daily","czech","terrestrial",110.455,1994,13
"1298","HMK038",198,"predation","spp1",1995,"Parus caeruleus","daily","czech","terrestrial",119.091,1995,14
"1299","HMK038",198,"predation","spp1",1996,"Parus caeruleus","daily","czech","terrestrial",119.091,1996,15
"1300","HMK038",198,"predation","spp1",1997,"Parus caeruleus","daily","czech","terrestrial",118.182,1997,16
"1301","HMK038",198,"predation","spp1",1998,"Parus caeruleus","daily","czech","terrestrial",113.864,1998,17
"1302","HMK038",198,"predation","spp1",1999,"Parus caeruleus","daily","czech","terrestrial",107.273,1999,18
"1303","HMK038",198,"predation","spp1",2000,"Parus caeruleus","daily","czech","terrestrial",110.455,2000,19
"1304","HMK038",198,"predation","spp1",2001,"Parus caeruleus","daily","czech","terrestrial",115.227,2001,20
"1305","HMK038",198,"predation","spp1",2002,"Parus caeruleus","daily","czech","terrestrial",111.364,2002,21
"1306","HMK038",198,"predation","spp1",2003,"Parus caeruleus","daily","czech","terrestrial",116.364,2003,22
"1307","HMK038",198,"predation","spp1",2004,"Parus caeruleus","daily","czech","terrestrial",111.364,2004,23
"1308","HMK038",198,"predation","spp1",2005,"Parus caeruleus","daily","czech","terrestrial",109.773,2005,24
"1693","HMK048",215,"predation","spp1",1985,"Parus_a ater","weekly","netherlands","terrestrial",40.6349,1985,4
"1694","HMK048",215,"predation","spp1",1986,"Parus_a ater","weekly","netherlands","terrestrial",50.9524,1986,5
"1695","HMK048",215,"predation","spp1",1987,"Parus_a ater","weekly","netherlands","terrestrial",41.0317,1987,6
"1696","HMK048",215,"predation","spp1",1988,"Parus_a ater","weekly","netherlands","terrestrial",39.0476,1988,7
